June 5, 2018 Consolidated Statewide Direct Primary Election

Report generated on: Monday, June 18, 2018 at 04:27:41 PM


*** Governor - CALIFORNIA (100)
Precinct Totals
PrecinctName	ReportingType	PrecinctID	Precincts	Registration	Ballots Cast	Turnout (%)	JOSH JONES	J. BRIBIESCA	GLORIA ESTELA LA RIVA	PETER Y LIU	ANTONIO VILLARAIGOSA	YVONNE GIRARD	ROBERT DAVIDSON GRIFFIS	SHUBHAM GOEL	TRAVIS ALLEN	AKINYEMI AGBEDE	JOHNNY WATTENBURG	NICKOLAS WILDSTAR	DESMOND SILVEIRA	MICHAEL SHELLENBERGER	ZOLTAN ISTVAN	CHRISTOPHER N. CARLSON	THOMAS JEFFERSON CARES	JOHN CHIANG	JOHN H. COX	AMANDA RENTERIA	DELAINE EASTIN	JEFFREY EDWARD TAYLOR	KLEMENT TINAJ	HAKAN ''HAWK'' MIKADO	ALBERT CAESAR MEZZETTI	GAVIN NEWSOM	ROBERT C. NEWMAN, II	WRITE-IN	WRITE-IN K. PEARCE	WRITE-IN VERONIKA FIMBRES	WRITE-IN ARMANDO M. ARREOLA	WRITE-IN ARMAN SOLTANI	WRITE-IN PETER CRAWFORD VALENTINO	Under Vote	Over Vote
Pct 1101	Election Day	1101	1	544	83	15.26	1	0	1	0	7	0	0	0	0	0	0	0	0	0	0	0	0	6	7	0	9	0	0	0	0	50	0	0	0	0	0	0	0	1	1
Pct 1101	VBM	1101	1	544	198	36.40	0	0	0	0	18	0	0	0	2	0	0	0	0	0	1	0	0	25	20	2	13	0	0	0	0	108	3	0	0	0	0	0	0	2	4
Pct 1102	Election Day	1102	1	964	188	19.50	0	0	1	0	28	1	0	0	3	0	0	0	0	0	1	0	0	9	10	1	24	0	0	0	1	102	1	0	0	0	0	0	0	3	3
Pct 1102	VBM	1102	1	964	337	34.96	2	0	1	0	45	0	1	0	16	0	0	0	2	0	0	1	0	22	27	5	30	0	0	0	0	169	1	0	0	0	0	0	0	7	8
Pct 1103	Election Day	1103	1	914	163	17.83	0	1	0	0	9	0	0	0	3	0	0	0	0	0	0	2	0	14	9	1	18	0	0	1	2	100	0	0	0	0	0	0	0	1	2
Pct 1103	VBM	1103	1	914	348	38.07	2	0	1	2	26	0	0	0	17	0	0	0	0	0	1	1	0	31	34	3	31	1	0	0	0	185	1	0	0	0	0	0	0	6	6
Pct 1104/1105	Election Day	1104	1	953	167	17.52	2	1	1	1	16	0	0	0	7	0	0	0	0	1	0	1	0	9	17	2	22	0	0	0	0	81	2	0	0	0	0	0	0	1	3
Pct 1104/1105	VBM	1104	1	953	292	30.64	1	0	2	5	37	1	0	0	15	0	0	0	0	0	0	2	0	32	12	4	26	1	0	0	0	143	1	0	0	0	0	0	0	3	7
Pct 1106	Election Day	1106	1	740	113	15.27	1	0	0	1	10	0	0	0	1	0	0	0	0	1	0	0	0	17	12	2	11	0	0	0	0	52	0	0	0	0	0	0	0	2	3
Pct 1106	VBM	1106	1	740	231	31.22	1	1	1	0	14	1	0	0	15	1	0	0	0	1	0	0	0	15	25	6	19	1	0	0	0	117	2	0	0	0	0	0	0	5	6
